"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory.Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"BANK1",12.8984049177312,13.1640206660181,6.77840437189676,4.81191802410865,5.34214568757154,5.1903289503233,2.56799838910511,4.32138737173428,5.10707135619026,5.82678796063853,5.08766756127519,5.2553065151954,6.45264892843603,3.00255545626993,4.08918214195076,4.91612476594789,5.65045950570061,4.35130129647422,6.33655989457942,6.54750220994883,9.95714765830676,5.32858895216798
"CXCL13",5.67751091172728,4.57112072041865,4.18959191602254,4.54580993075094,2.81249151991787,3.31573119037035,8.13714362430337,13.2258003532958,3.85840784135842,3.10051717730338,3.4628952557407,4.09804263207659,3.50052623743903,3.67281764057835,9.29675682958734,4.15062211727503,3.77758844599595,4.45493415394573,4.73927529738282,3.57840386425762,3.59804178955386,4.94441178339469
"CD160",8.80454867161018,8.14376671732986,7.02861449648547,10.1628316486232,6.85758091265949,6.98098863574523,7.32353717546195,6.2221927392974,7.96647408805236,11.6813299993581,11.2880202155182,9.42939908548039,6.56767110713332,6.4984217275613,6.10851313805937,5.24606885782911,6.1890022026043,6.3194492553496,6.02461241520322,6.59364486226111,7.41796309786281,7.86382903157932
"CST7",4.94071444721308,4.48121825403914,3.90895313434031,12.3394597470169,7.63556970752813,10.5226452781367,9.54548483161777,8.33566746086385,10.3709393410369,13.5631531742768,13.4913126068705,13.3135609930289,6.01509667760823,7.99932393899368,7.55310017953886,8.19752021797887,10.5424949749769,11.9874206372551,11.158837475943,11.2811174536682,9.26961806670741,11.1976644722822
"SELL",13.4386657931509,12.9664360173817,8.5618797686953,12.8571767164611,13.2595171394138,12.7947225540869,11.306345653606,12.0324506423169,12.3349563240638,13.3699474572204,12.4874618758478,10.636316004855,12.8225190820008,6.7131521657972,7.87757025914589,8.1710223311735,6.94197193826343,7.11197131576749,8.47163447617285,8.17849832725247,11.5518953783741,13.7446172761678
"CCL19",6.31327499041347,7.13693301155664,8.01737457303591,6.29687911028614,5.24303710969211,5.95254865099405,6.50427628051728,5.64344131750568,5.16966043821115,4.4710886785768,6.79341706654248,7.20418053573312,6.86483679207335,6.85008428292326,14.990586232972,7.10929999795789,7.42498183489908,11.5745326173593,5.28720157009953,4.33288248488481,7.26492388276423,6.88586276595869
"CD38",9.20277235341364,9.36839233719706,13.564976538194,8.32140256964951,8.21577288991452,7.68863533316803,8.94727940536357,10.1628451511356,9.44606480262083,7.8138531606685,10.4709287669906,9.76191589716631,7.89906600699604,6.52127380642889,13.5519920654513,9.33004402354879,6.06129272671067,11.7196578657523,9.67184825728479,10.4178038093963,8.2273970419346,8.64921604775883
"BST1",6.04916068510493,6.09988282505841,5.11971145214618,6.12630383732798,7.02647237657435,6.1022369419145,6.18632676850631,5.98393785791529,5.50154544652914,8.33744732220833,7.25181512613483,6.44521481644981,10.6149118523617,8.61301242832969,6.22435543156461,7.71743530630295,7.27870358062476,6.84526971576941,8.74315091904995,8.7982045623369,3.48040304150302,10.7741539539034
"GFI1",4.83979854220095,4.71166217524041,5.36758215654072,8.20281381569891,5.61718774745583,7.06579599749882,9.45462997489375,9.13488478924469,9.20093164102832,8.40244641760269,8.99373118401269,8.6268799269496,4.34933170679979,4.90850804088747,4.68184284809777,4.78703621436754,5.14189011522103,5.76205416532882,10.123659009134,9.29884895011535,5.36725591490677,5.40731262163184
"EMR1",8.96581631877274,8.58519245662413,7.6101899349431,7.6212933432605,8.74505121643215,8.29375746956638,8.6482439942026,7.52308300452375,8.39589859880157,8.81046477013676,8.44740951659253,7.56621631662909,10.8269566947537,7.67463060425676,11.7851313767917,8.66317932588041,7.48927145830184,7.89736657720481,8.17182321492597,7.96100383882082,13.995388056268,10.2930272107731
"CMA1",6.30298426752762,6.11074100717949,6.26000571146822,4.71312085944107,5.42945474590633,5.5739962153698,6.27269914799316,4.94266158048434,5.36058654754032,6.29285516692003,5.86623023633548,5.75543874679131,5.90130844820396,5.56599342178004,6.06097274782474,6.024921060673,5.51656438578107,5.75815374565537,10.4303270923771,10.6646213779121,7.3722674464873,5.62220966392161
"KLRG1",10.4010474449831,10.0732838522447,8.91818021526554,11.9144405365612,8.87181780707464,10.9225431452079,8.11123880854707,8.15078207288758,8.54814700426875,12.1776722092553,10.7328936910944,9.83489317041005,8.25949571458214,8.08323409035039,7.98925680580882,7.2246337420555,7.97200558092957,7.81507524865807,10.3566626257329,10.3601099112961,8.81240408127635,9.2441140419522
"KLRC4",6.1137455272643,6.42752452093767,4.67051669966538,7.77594019208195,5.63810573052801,4.22314061993297,4.53648118401393,3.40931873182309,5.11949652377118,6.97501599312302,7.6877445903448,6.91868970520208,4.39608609516637,4.69663590437934,4.1748096943423,2.89894852679878,3.51209544481257,2.6682023723255,3.92108903006329,3.72795303297145,2.56095426868454,5.50665491446302
"GNLY",3.32431509124289,3.95608036837635,4.34006522196962,11.8663269491284,7.08659949915815,10.2280671512264,7.87295884795638,3.77187222137873,4.66485666441441,13.0018597841974,14.4094970313183,14.5040958528827,4.38870158165892,4.13565366148235,4.42000619306234,4.06547249042786,4.54662094712389,4.48866848251804,4.76399935878808,4.27590944594275,4.67389941561872,6.89796984422524
"ZNF165",2.89171963879809,2.4413829559318,6.23463925769412,2.06718870480525,5.11566439343288,1.89699737082547,5.5299227934563,2.83737935796208,2.79190736978532,2.56022718363975,3.00415675765626,2.56013562178698,1.87528254626405,1.75402103723227,2.38947389260209,2.82379768754123,1.77193093841564,1.50476052149476,2.44635984793827,2.04942381500505,12.4745634940892,2.66854561726309
"MAN1A1",8.20225038011027,8.03902193315593,12.0161255085794,7.90940277868735,6.60532130837524,7.78414199237103,8.40376734666887,8.13767490072076,7.92511986702226,8.20634198970717,8.58116734531385,8.27455803754113,7.69017627541174,9.08358908871377,8.95089344323908,9.06556726788193,8.5217911262812,8.79969296800958,9.32810322592129,9.0240182592004,7.41238434007321,9.37310039017561
"PTGER2",5.59630329617513,4.42602336022024,4.49191667353744,11.1432582432513,8.02149063752836,12.048968506602,10.0469398053893,3.98694707398792,11.3493925470525,11.5308612727472,11.5430325459539,12.4946373856111,10.1740649942562,9.27650326657852,7.42118448481945,10.7775324315261,9.19259904565582,9.69323558589116,8.84996615595086,9.80263239724109,8.97160916030927,7.52902278895516
